Page,Câu tiếng Hán,volumn,translation,best_match
11,豁痰利氣：橘紅、白附、白芥、蘇子、萊菔子、殭蠶、膽星、半夏、天麻、貝母、欝金、姜黃、杏仁、前胡、天竹黃、雄黃、牛黃、珍珠、輕粉、礞石、巴霜、蜈蚣。,Volume_30,"Khoát đàm lợi khí: Quất hồng, Bạch phụ, Bạch giới, Tô tử, Lai phục tử, Khương tàm, Đảm tinh, Bán hạ, Thiên ma, Bối mẫu, Uất kim, Khương hoàng, Hạnh nhân, Tiền hồ, Thiên trúc hoàng, Hùng hoàng, Ngưu hoàng, Trân châu, Khinh phấn, Mông thạch, Ba sương, Ngô công.","- Trục làm không khí: Quít hồng, Bạch phụ, Bạch giới tử, Tổ tử, la bặc tử, Cương tàm, Dởm tinh, Bán hạ, Thiên na, Bởi mẩu, Uất kim, Khương hoàng, Hạnh nhân, Tiền hồ, Thiên trúc hoàng, Hùng hoàng, Ngưu hoàng, Trân châu, Khinh phấn, Thanh mỏng thạch, Ba đậu sương, Ngô công."
11,消食去滯：山查、枳實、枳殼、木香、陳皮、腹皮、大黃、樸硝。,Volume_30,"Tiêu thực khứ trệ: Sơn tra, Chỉ thực, Chỉ xác, Mộc hương, Trần bì, Phúc bì, Đại hoàng, Phác tiêu.","Tiêu thực, khử trệ: Sơn tra, Chỉ thực, Chỉ xác, Mộc hương, Trần bì, Phúc bì, Đại hoàng, Phác tiêu."
2,音和臥功，物嬴靈曰：人受二五之氣，以有生。,Volume_29,"Âm hòa và Ngọa công, Vật Doanh Linh nói rằng: Con người thụ nhận nhị ngũ chi khí mà có sinh mệnh.","GLA GLAM (Cộng 13 điều) CẢm mạo phát nóng dữ, cho bội xuyên khung, gia tử tô, phòng phong, để hòa huyết cho phát mồ hôi."
23,消疳化積殺蟲，生地、嬴地、當歸、白芍、丹皮、如龍膽章、苫薈、貫衆、乾蟾、三稜、義術、枳寔、山査、史君子、杏仁、梹榔、阿魏、蕪荑、石決明、神曲、香附、青皮、木香之類。,Volume_31,"Tiêu cam hóa tích sát trùng, sinh địa, thục địa, đương quy, bạch thược, đơn bì, long đởm thảo, lô hội, quán chúng, can thiềm, tam lăng, bạch truật, chỉ thực, sơn tra, sử quân tử, hạnh nhân, binh lang, a vị, vô di, thạch quyết minh, thần khúc, hương phụ, thanh bì, mộc hương, vân vân.","Long đởm thảo, Lô hội, Quán chúng, Cóc sấy khô, Tam lăng, Nga truật, Chỉ thực, Sơn tra, Sử quân tử, Hạnh nhân, Binh lang, A ngày, Vu di, Thạch quyết minh, Thần khúc, Hương phụ, Thanh bì, Mộc hương."
2,方書曰：治十男子，不若治一婦人；治十婦人，不若治一老人；治十老人，不若治一小。,Volume_29,"Y thư viết: Trị mười người đàn ông, không bằng trị một người phụ nữ; trị mười người phụ nữ, không bằng trị một người già; trị mười người già, không bằng trị một trẻ nhỏ.","Sách có nói: ""chữa 10 người nam không bằng chữa 1 người nữ, chữa 10 người nữ không bằng chữa 1 người già, chữa 10 người gia không bằng chữa 1 em bé"", người xưa còn gọi là á khoa nghĩa là khoa cân nữa, vì trẻ em dau dớn thế nào nó không nói được, mà chỉ thấy khóc, chứ không hiểu dau bệnh gì cho nên chần trị không gì khó bằng"
2,新鐫海上醫宗心領全帙卷之二十九，幻㓜須知集小引。,Volume_29,"Mới khắc in, Quyển 29 của Toàn tập Y Tông Hải Thượng Tâm Lĩnh, bao gồm Lời dẫn nhập của Tập Cẩm nang Nhi khoa.",HẾT QUYỂN MỘC HẢI THƯỢNG Y TÔNG TÂM LÍNH Quyển thứ 31 ẤU ẤU TU TRI THỔ (YÊU TRẺ NÊN BIẾT) A
4,一方加羚羊角、黃芪。,Volume_31,"Một phương gia thêm Linh dương giác, Hoàng kỳ.","Một phương gia Linh dương giác, Hoàng kỳ."
2,六慈七情各備，自來嬌嫩埀及長成，容有大小差別。,Volume_29,"Lục từ, thất tình đều đầy đủ, từ khi còn non nớt cho đến lúc trưởng thành, hình dáng có thể có sự khác biệt lớn nhỏ.","Chỉ vì trẻ con mới sinh hình thể tuy đủ mà khí huyết tạng phủ còn chưa hoàn chỉnh, tinh thần hồn phách ý chí cũng chưa đầy đủ, cho nên 32 ngày một lần biến, 64 ngày một lần chưng"
11,柴胡、黃芩、葛根、防風、桔梗、荊芥、甘草、連翹、天花粉、花子、童膽草、犀角、羚羊角、黃連、淡竹葉、燈心、活石，店薈散風寒：防尼、姜活、紫蘇、前胡、桂枚、麻黃、細辛、生姜。,Volume_30,"Sài hồ, hoàng cầm, cát căn, phòng phong, cát cánh, kinh giới, cam thảo, liên kiều, thiên hoa phấn, Hoa tử, đồng đởm thảo, tê giác, linh dương giác, hoàng liên, đạm trúc diệp, đăng tâm, hoạt thạch. Điếm Uý tán phong hàn: Phòng kỷ, khương hoạt, tử tô, tiền hồ, quế chi, ma hoàng, tế tân, sinh khương.","THUỐC CHỦ YẾU CHỮA KINH PHONG - Thanh phong nhiệt: Sái hồ, Hoàng cầm, cát căn, phòng phong, cật cảnh, kinh giới, cam thảo, liên kiều, thiên hoa phấn, chi tử, long đờm thảo, tê giác, linh dương giác, Hoàng liên, Đạm trúc diệp, Đăng tâm, hoạt thạch, - Tán phong hàn: Phong phong, Khương hoạt, tía tô, Tiền hồ, Quế chi, Ma hoàng, Tế tân, Sinh khương."
11,溫補脾胃：肉桂、紫河車、白術、炮姜、煨姜、丁香、陳米、炙草、藿香、茯苓、黃芪、人參、附子、肉果、山藥、蓮肉、木香、砂仁、扁豆。,Volume_30,"Ôn bổ tỳ vị: Nhục quế, Tử hà sa, Bạch truật, Bào khương, Ủi khương, Đinh hương, Trần mễ, Chích thảo, Hoắc hương, Phục linh, Hoàng kỳ, Nhân sâm, Phụ tử, Nhục đậu khấu, Hoài sơn, Liên nhục, Mộc hương, Sa nhân, Biển đậu.","Bào cương, Ồi khương, Dinh hương, Trần mễ, Chích thảo, Hoắc hương, Phục linh, Hoàng kỳ, Nhân sâm, Phụ tử, Nhục quả, Sơn dược, Liên nhục, Mộc hương, Sa nhân, Biển đậu."
6,一惡食滑瀉，腳心不知痛癢，乳食直下，牙齦黒爛，頭項軟倒，舌白喘促，四肢厥冷，乾嘔寒噎，下痢脹腫剌痛，氣短耳焦，肩聳，面色如銀，肚硬如石，皮緱紫瘡，鶴膝，解顱，糞門如筒，肌肉青黑，口舌臭爛，口吐黑血，吐利蛔蟲，流誕臭穢者，並不治。,Volume_31,"Người vừa ăn vào là tiêu chảy phân lỏng không cầm được, lòng bàn chân không cảm giác đau ngứa, phân có lẫn sữa và thức ăn chưa tiêu, lợi đen mục nát, đầu cổ mềm nhũn rũ xuống, lưỡi trắng thở gấp, tứ chi lạnh toát, nôn khan nghẹn tắc do hàn, kiết lỵ bụng trướng đau quặn thắt, khí đoản tai teo khô, vai rụt lại, mặt trắng bệch như bạc, bụng cứng như đá, da nổi cục lở loét tím sạm, đầu gối teo tóp (như chân hạc), sọ não mở toang, hậu môn giãn rộng như ống, cơ bắp xanh đen, miệng lưỡi lở loét hôi thối, nôn ra máu đen, nôn và tiêu chảy ra giun đũa, chảy dãi hôi thối, đều không thể cứu chữa.","Những chứng bệnh như chán ăn hay ỉa chảy, gan bàn chân không biết đau ngửa, đồ ăn và sữa ăn vào lại đi ra, nướu răng đen loét, đầu cổ oặt nghiêng lưỡi trắng suyễn thở, tay chân quyết lạnh, mửa khan, nghẹn lạnh, đi ly mà sưng phù, nhói đau hơn thở đoản, tai quăn vai dốc, sắc mặt trắng bệch nhung bạc, bụng cứng như đá, da mọc nốt lờ tia, sưng gối hạc, mỏ ác hở, lỗ đít trống như cái ống, da thịt xanh đen, miệng lưỡi thốt loét, miệng thổ ra màu đen, mửa ỉa ra lãi nước dãi chảy ra hội hàm, đều la chứng bất trị."
50,藿香正氣散，治外感內傷寒熱霍亂吐瀉。,Volume_31,"Hoắc Hương Chính Khí Tán, trị ngoại cảm nội thương, hàn nhiệt, hoắc loạn, thổ tả.","HOẮC HƯƠNG CHÍNH KHÍ TÁN Trị ngoại cảm, nội thương nóng rét, hoắc loạn, thổ tả."
29,一：肝受熱則左臉先赤，肺受熱則右臉先赤，心受熱則額上先赤，腎受熱則頃間先赤，脾受熱則鼻上先赤。,Volume_31,"Khi Gan bị nhiệt thì mặt trái đỏ trước, Phế bị nhiệt thì mặt phải đỏ trước, Tâm bị nhiệt thì trán đỏ trước, Thận bị nhiệt thì sắc mặt đỏ tức thì, Tỳ bị nhiệt thì mũi đỏ trước.","- Can nhiệt thì má bên trái đỏ trước, phế bị nhiệt thì má bên phải đò trước, tâm bị nhiệt thì trên trán đỏ trước, thận bị nhiệt thì chỗ bên mép đỏ trước, tỳ bị nhiệt trên mũi đỏ trước."
13,一大熱傷血，心無血養，神不藏而發驚，熱極傷陰，水不養木而筋急發搐，去澤瀉傷陰，倍嘉地以補水，加班竟以峻補真精，使之上奉以安神，加當歸以和肝血，白芍以斂肝陰，秦芃蘞藤以舒筋活絡以去內風。,Volume_33,"Đại nhiệt làm tổn thương huyết, tâm không được huyết nuôi dưỡng nên thần không tàng trữ mà phát ra chứng kinh giật; nhiệt quá mức làm tổn thương âm, thủy không dưỡng mộc nên gân co cứng phát rút. Bỏ Trạch tả vì gây tổn thương âm dịch, tăng gấp đôi Gia Địa để bổ thủy, gia Ban Kính để đại bổ chân tinh, khiến cho tinh khí thăng lên để an thần. Thêm Đương quy để điều hòa can huyết, Bạch thược để thu liễm can âm, Tần Bồng và Lãm Đằng để thư cân hoạt lạc và khu trừ nội phong.","Nóng lắm hại huyết, tân không có huyết nuôi thì tinh thần không yên chỗ mà phát chứng kinh, nhiệt quá hại âm, thì thủy (thận) không nuôi mộc (can) mà gần căng thẳng phát chứng co, thì bỏ trạch tả (hại âm), bội thục địa để bổ thủy, gia cao ban long để bổ mạnh vào thận tinh, khiến cho nó bồi bổ lên trên để yên thần, gia đương quy để hòa can huyết, gia bạch thược để liễm can âm, gia tàn giao, câu đẳng để thư dãn cân lạc, để trừ chứng phong ở bên trong (do huyết sinh ra)"
12,如驚熱出於心肺者，宜桑皮、葶藶、赤茯苓、車前子、山栴、甘草、姜棗煎服，從小便利之導赤散，能瀉肝風，降心火，最利驚熱。,Volume_30,"Nếu chứng kinh nhiệt phát xuất từ tâm và phế, nên dùng Tang bì, Đinh lịch, Xích phục linh, Xa tiền tử, Chi tử, Cam thảo, Gừng, Táo tàu sắc uống. Thuốc này thông qua việc lợi tiểu tiện, giống như Đạo Xích Tán, có thể tả Can phong, giáng Tâm hỏa, và rất có lợi cho chứng kinh nhiệt.","Như kinh nhiệt phát từ tâm phế thì nên dùng tang bì, đình lịch, xích phục lính, xa tiền tử, sơn chi tử, cam thảo, sắc với gừng táo mà uống thì đường tiểu sẽ thông, bài Đạo xích tán có thể tả can phong giáng tâm hỏa, trị kinh nhiệt rất hay hoặc thêm sơn chi tử, khương hoạt, đại hoàng, còn như vừa kinh vừa sốt rét, vừa kinh vừa đi lỵ v"
2,乃醫療諸條目，每不盡於大人之旨，而肆為專門異治。,Volume_29,"Mà các hạng mục y tế, thường không đáp ứng trọn vẹn ý chỉ của người thường, lại tùy tiện chuyên môn hóa và tiến hành điều trị khác biệt.","Nếu chỉ bắt chước phương thuốc hàn lương khắc phạt của người xưa, như các bài Phì-nhi-hoàn, Lô hội hoàn, là những phương thuốc tiêu hao, mà muốn đem lại để làm thân cho thân thể lành mạnh, thì không thể được"
17,若痰喘甚者，琥珀散（見上），抱龍凡（見驚門），清膈散百四，梅兄飲百五；火盛而煩熱者，涼驚凡三四，抑青凡百六，或黃連安神凡百七，牛黃散百八，及枇杷、黃連、龍膽草之類；火虛燥熱而大便祕結者，瀉青凡九二，利驚凡百三八。,Volume_30,"Nếu đàm suyễn nặng, dùng Hổ Phách Tán (xem trên), Bão Long Hoàn (xem Kinh Môn), Thanh Cách Tán 104, Mai Huynh Ẩm 105; người Hỏa thịnh và phiền nhiệt thì dùng Lương Kinh Hoàn 34, Ức Thanh Hoàn 106, hoặc Hoàng Liên An Thần Hoàn 107, Ngưu Hoàng Tán 108, và các loại Tỳ Bà, Hoàng Liên, Long Đởm Thảo; người Hỏa hư táo nhiệt mà đại tiện bí kết thì dùng Tả Thanh Hoàn 92, Lợi Kinh Hoàn 138.","Hỏa thịnh mà phiền nhiệt dùng Lương kinh hòan (34), Ức thanh hoàn (106), hoặc Hoàng liên an thần hoàn (107) Ngưu hàng tán (108) và các loại sơn chỉ, hoàng liên, long đờm thảo, hỏa hư táo nhiệt mà đại tiện táo bón, dùng Tả thanh hoàn (92), Lợi kinh hoàn (138), ngoại cảm phong hàn, mình móng phát động kinh, nên dùng thuốc giải biểu như ức can tán (109), bội dung sài hồ, hoặc Sâm tô ẩm (97), Ngũ tích tán (110), Tinh tô tán (111) để giải biểu, bằng biểu tà chưa giải được mà bên trong vẫn nóng thì dùng Tiền thị Hoàng long thang (165), như kinh khí tạm lui mà hỏa chưa thanh thì dùng An thần trấn kinh hoàn (112)."
15,急驚八候俱全，加以面赤脣紅，渾身壯熱，口中氣亦熱，作渴引飲，便祕尿赤，此因有內熱外挾風邪，風熱併作，氣亂痰壅，百脈凝滯，關竅不通，發時暴烈，發過如故。,Volume_30,"Tám chứng cấp kinh đều đầy đủ, lại thêm mặt đỏ môi hồng, toàn thân tráng nhiệt, hơi thở trong miệng cũng nóng, khát nước đòi uống nhiều, táo bón, nước tiểu đỏ. Đây là do có nội nhiệt kiêm ngoại phong tà, phong nhiệt cùng phát tác, khí loạn đàm ủng, bách mạch ngưng trệ, quan khiếu bất thông. Khi phát bệnh thì dữ dội, nhưng sau khi phát qua thì lại như cũ.","Bàng hàm răng không cắn chặt, trong họng không đàm sôi sục, đay là chứng hậu lén đậu mà không phải động kinh, cấp kinh thì đủ 8 chứng hậu còn thêm chứng ửng mặt đỏ môi, khắp mình nóng dữ, hơi trong miệng cũng nóng, khát nước đòi uống, bí la, nước đái đỏ đó là do bên trong có nhiệt và kèm theo phong tà bên ngoài, phong nhiệt cùng dãy một lúc, khi tán loạn, đờn nghẹt tắc, cho nên các mạch đều ngừng trệ, ngũ quan cửu khiếu đều không thông, lúc lên ơn thì dữ dội, hết cơn lại như cũ"
39,有數曰：不大便，腹脹悶痛，胸痞欲吐，咽燥祕塞，縶氣煩灼者，此熟邪聚內，津液中乾，大腹枯澁而氣滯也。,Volume_30,"Có lời rằng: Người bệnh đại tiện không thông, bụng chướng đầy tức đau, ngực đầy tức muốn nôn, họng khô rát nghẹn tắc, khí uất kết phiền táo, nóng bức, đó là do tà nhiệt tích tụ bên trong, tân dịch khô cạn, đại tràng khô sáp mà khí trệ.","B- Phân biệt chứng trạng: Chứng hậu có mấy ngày không đi la, bụng trướng lên, đau quặn, tức ngực, muốn mửa, cổ họng khô và tắc hơi nóng như đốt, đấy là nhiệt tà tụ tập bên trong, tân dịch khô kiệt, đại trường khô rít mà sinh khí trệ."
2,何若是之分，索煩冗也。,Volume_29,"Thế thì phân biệt làm gì, chỉ rước thêm phiền phức rườm rà mà thôi.","Tôi suy nghỉ càng sâu, lĩnh hội được càng nhiều, bỏ điều rườm rà, đem (1) Cam lan: lao do ở cam sinh ra."
6,要皆脾胃虛弱，血氣枯滯，生積生熱生痰，乗臟氣之虛傳八為疳，故曰疳者乾也。,Volume_31,"Tất cả đều là do tỳ vị hư nhược, huyết khí khô trệ, sinh tích, sinh nhiệt, sinh đàm, thừa cơ tạng khí hư nhược mà truyền biến thành tám loại bệnh cam, bởi vậy nói cam tức là khô vậy.","Tóm lại đều do tỳ vị hư yếu, khí huyết khô trệ, sinh tích, sinh nhiệt, sinh đờm, nhân khi tạng khí hư hảo mà truyền vào làm thành bệnh cam, cho nên gọi ""bệnh cam là bệnh khô ráo"""
18,人參、華山查、白、陳皮、莪、婆厚樸、神曲、黃連、胡黃連、青皮、茯苓、白芍、地骨皮、澤瀉、肉荳蔲、檳榔、川芎、柒胡、史君子、甘草、乾蟾煆各五分。,Volume_31,"Nhân sâm, Hoa Sơn Tra, Bạch truật, Trần bì, Nga truật, Hậu phác, Thần khúc, Hoàng liên, Hồ hoàng liên, Thanh bì, Phục linh, Bạch thược, Địa cốt bì, Trạch tả, Nhục đậu khấu, Binh lang, Xuyên khung, Sài hồ, Sử quân tử, Cam thảo, Thiềm tô nung, mỗi vị năm phân.","Long đởm thảo, Lô hội, Quán chúng, Cóc sấy khô, Tam lăng, Nga truật, Chỉ thực, Sơn tra, Sử quân tử, Hạnh nhân, Binh lang, A ngày, Vu di, Thạch quyết minh, Thần khúc, Hương phụ, Thanh bì, Mộc hương."
6,別症身熱常熱，形容黃瘦，肚腹膨脹，小便如泔，毛髮黃織，臉多白印，惡心猷吐，飲食不為腦膚，頭面多生瘡疥，此疳之大槩有如是者，皆脾之症也。,Volume_31,"Các triệu chứng khác: thân nhiệt thường xuyên nóng, diện mạo vàng vọt gầy yếu, bụng trướng phình, tiểu tiện như nước vo gạo, lông tóc vàng xơ xác, mặt có nhiều đốm trắng, buồn nôn và nôn ói, thức ăn không chuyển hóa thành tinh hoa nuôi dưỡng não và da, đầu mặt thường nổi mụn nhọt, ghẻ lở. Đây đại khái là những triệu chứng của bệnh cam (疳) thường thấy, tất cả đều là các chứng bệnh của tạng Tỳ.","Nếu bị sốt cơn mà dùng phác tiêu, dại hoàng để xổ, bị tích bảng mà dùng ba dậu, bằng sa để tả hạ, thì cũng đều thành ra bệnh cam cả, A- Phân biệt chứng trạng: Mình thường nóng, hình dung vàng gầy, bụng to tướng, nước tiểu như nước vo gạo, lông tóc vàng xoắn, mã nhiều khoang trắng, bợn dạ muốn mửa, ăn uống không ra da thịt, đầu mặt hay sinh chốc lở, bệnh cam đại khái là như thế, có những chứng trên đều là bệnh ở tỳ cả."
14,出醫學冷疳症則多渴溏泄，好臥冷地，減食咳逆，目腫面黧，體軟脣堅，肚大筋青，眼膜羞明，身瘦肢冷是也。,Volume_31,"Trong y học, chứng lãnh cam thường biểu hiện: khát nước nhiều, đi ngoài phân đường tiết, thích nằm nơi lạnh, kém ăn, ho và nấc, mắt sưng, mặt tái sạm, thân thể mềm nhũn, môi cứng, bụng chướng, gân xanh nổi rõ, màng mắt sợ ánh sáng, người gầy gò, chân tay lạnh.","Đều tán bột, bôi khô vào mép miệng và xát trên răng, rất hay (trích trong Y-học) CHỨNG CAM LẠNH Cam lạnh thì khát nước, đi ngoài phân sệt, ưa nằm nơi đất lạnh, kém ăn, ho tức, mắt sưng húp, mặt đen, thân thể mềm oặt, môi cứng, bụng to, gân xanh, mắt có màng, chói ánh sáng, mình gầy, tay chân lạnh là đúng chứng (trích trong (Cẩm-nang)."
35,四九紫霜凡：代赭石煆用醋碎七次，赤石脂各一，用杏仁五十粒麵炒，巴豆三十枚去膜油心，右先將杏仁、巴豆研成膏八代赭石脂末研勻，湯浸餅蒸凡粟米大，每服五凡米飲下。,Volume_33,"Tứ Cửu Tử Sương Hoàn: Đại giả thạch tôi giấm, giã nát 7 lần. Xích thạch chi mỗi vị một phần. Hạnh nhân 50 hạt sao với bột. Ba đậu 30 hạt bỏ màng và tâm dầu. Trước hết, lấy hạnh nhân và ba đậu nghiền thành cao. Rồi trộn đều vào bột đại giả thạch và xích thạch chi, nghiền kỹ. Thấm nước nóng, nặn thành viên, hấp chín, mỗi viên to bằng hạt kê. Mỗi lần uống 5 viên, chiêu bằng nước cơm.","19- TỬ SƯƠNG HOÀN Đại gài thạch (nung đỏ tôi gấm 7 lần) Xích thạch chi Hạnh nhân (sao với bột mì Ba dầu (bỏ màng, đầu, lôi) đều 1 phân 50 hột 30 hōt Các vị trên, trước hết đem hạnh nhân, ba đậu nghiền thành cao, rồi cho bột đại giả thạch, thạch chi vào nghiền đều nhau, viên với binh những nước sôi, to bằng hột gạo, mỗi lần uống 5 viên, với nước cơm."
21,有因久吐瀉，有因暴洞瀉，脾胃虛弱亡陽而成者；有因急驚遇用寒涼，以致陽虛陰盛，心神鎮墜而成者；有因傷寒下早，表邪未去，元氣已虛，致風邪伏內，痰壅氣塞而成者；有因久嗽不止，肺氣受傷，肝木無制而成者；亦有小兒脾胃素弱或受寒風而得此症，則不必指病後與誤藥者。,Volume_30,"Có trường hợp do nôn ói, tiêu chảy lâu ngày; có trường hợp do tiêu chảy cấp tính, ồ ạt, khiến tỳ vị hư yếu, vong dương mà thành bệnh. Có trường hợp do cấp kinh (kinh phong cấp tính) mà dùng thuốc hàn lương, dẫn đến dương hư âm thịnh, tâm thần sa sút mà thành bệnh. Có trường hợp do thương hàn mà dùng phép hạ sớm, tà khí ở biểu chưa hết, nguyên khí đã hư yếu, khiến phong tà ẩn phục bên trong, đàm tắc, khí nghẽn mà thành bệnh. Có trường hợp do ho lâu ngày không dứt, phế khí bị tổn thương, can mộc không được chế ngự mà thành bệnh. Cũng có trẻ nhỏ tỳ vị vốn đã yếu hoặc do nhiễm phong hàn mà mắc chứng này, thì không nhất thiết phải quy cho là do biến chứng sau bệnh hoặc do dùng thuốc sai.","Tâm lấy phần làn chủ trì, thần lấy phần dương làm sở dụng, có bệnh vì ra mửa lâu ngày, có bệnh vì đi tháo dạ quái, tỳ vị hư nhược, vong dương (1) mà sinh ra; có bệnh bị cấp kinh, dùng nhiều thuốc làm lương quá làm cho dương hư âm thịnh, tâm thần bị nén xuống mà ra, có bệnh vì mắc bệnh thương hàn mà cho xổ sớm quá, biểu tà chưa đuổi mà nguyên khí đã hư, phong tà tiềm phục ở trong rồi đàm ngăn khi ngẹt mà ra, có bệnh vì họ lâu ngày không khỏi phế khí bị thương, can mộc không ức chế được mà ra, cũng có bệnh vì trẻ con vốn yếu tỳ hoặc bị phong hàn mà mắc phải, thì không thể cho là vì sau lúc bệnh cùng dùng nhầm thuốc được, sách chép rằng: Chứng mạn kinh mạn tỳ mà có kèm theo chứng nóng lạnh thì tuy hơi nhẹ mà trái lại là nặng, B- Phân biệt chứng trạng."
56,無積不喘為虛，可以溫散，宜六君湯百三一加白芍、乾姜、厚樸，或大異香散七七加五靈脂為末，紫蘇煎湯下，或五苓散九二俾上下分消其氣，不可妄下，仍忌香燥熱藥。,Volume_31,"Chứng suyễn mà không có tích trệ là hư chứng, có thể dùng phép ôn tán. Nên dùng Lục Quân Thang Bách Tam Nhất gia Bạch thược, Can khương, Hậu phác. Hoặc Đại Dị Hương Tán Thất Thất gia Ngũ Linh Chi tán thành bột, dùng nước sắc Tử Tô mà uống. Hoặc Ngũ Linh Tán Cửu Nhị để phân tiêu khí bệnh cả trên và dưới. Không được tùy tiện dùng phép hạ, vẫn kiêng các vị thuốc hương táo nhiệt.","Nếu hơi đoản suyễn gấp thì nên dùng Phân khí tô tử ẩm, không tích không suyễn là chứng hư thì có thể ôn tán, nên dùng Lục quân thang (131) gia bạch thược, Cán khương, Hậu phúc, hoặc Đại dị hương tán (77) gia Ngũ linh chí, tán bột, sắc nước tử tổ mà uống, hoặc Ngũ linh tán (92) để cho trên dưới chia nhau mà tiêu tan khí uất, không nên hạ bậy, lại phải kiêng thứ thuốc nhiệt thơm ráo, nếu bụng trướng phù thì nên dùng Tháp khí hoàn làm chủ yếu."
19,有因久吐瀉、有因暴洞瀉，脾胃虛弱亡陽而成者；有因急驚遇用寒涼以致陽虛陰盛，心神鎮墜而成者；有因傷寒下早，表邪未去，元氣已虧，致風邪伏內，痰壅氣塞而成者；有因久嗽不已，肺氣受傷，肝木無制而成者；亦有小兒脾胃素弱或受寒風而得此症，則不必指病後與誤藥者。,Volume_30,"Có trường hợp do nôn mửa, tiêu chảy kéo dài, hoặc do bạo tả cấp tính, dẫn đến tỳ vị hư nhược, vong dương mà thành bệnh; có trường hợp do cấp kinh phong gặp phải việc dùng thuốc hàn lương quá mức gây dương hư âm thịnh, tâm thần trấn trụy mà thành bệnh; có trường hợp do thương hàn hạ sớm, biểu tà chưa giải, nguyên khí đã suy tổn, dẫn đến phong tà nội phục, đàm ủng khí tắc mà thành bệnh; có trường hợp do ho kéo dài không dứt, phế khí bị tổn thương, can mộc vô chế mà thành bệnh; cũng có trường hợp trẻ nhỏ tỳ vị vốn tố nhược hoặc cảm phải phong hàn mà mắc chứng bệnh này, thì không nhất thiết phải quy về hậu bệnh hoặc do dùng thuốc sai.","Tâm lấy phần làn chủ trì, thần lấy phần dương làm sở dụng, có bệnh vì ra mửa lâu ngày, có bệnh vì đi tháo dạ quái, tỳ vị hư nhược, vong dương (1) mà sinh ra; có bệnh bị cấp kinh, dùng nhiều thuốc làm lương quá làm cho dương hư âm thịnh, tâm thần bị nén xuống mà ra, có bệnh vì mắc bệnh thương hàn mà cho xổ sớm quá, biểu tà chưa đuổi mà nguyên khí đã hư, phong tà tiềm phục ở trong rồi đàm ngăn khi ngẹt mà ra, có bệnh vì họ lâu ngày không khỏi phế khí bị thương, can mộc không ức chế được mà ra, cũng có bệnh vì trẻ con vốn yếu tỳ hoặc bị phong hàn mà mắc phải, thì không thể cho là vì sau lúc bệnh cùng dùng nhầm thuốc được, sách chép rằng: Chứng mạn kinh mạn tỳ mà có kèm theo chứng nóng lạnh thì tuy hơi nhẹ mà trái lại là nặng, B- Phân biệt chứng trạng."
2,因地一聲之後，百骸九竅乃全。,Volume_29,"Sau một tiếng từ nhân địa, bách hài cửu khiếu liền được toàn vẹn.","Mũi khô (ty can), là kim không sinh thủy, hư hỏa của 6 kinh dương bốc lên."
